time_period,data_version,time_identifier,geographic_level,country_code,country_name,core_component,sex,grade,count,percent,cumulative_count,cumulative_percent
202223,Revised,Academic year,National,E92000001,England,Digital Business Services,Female,D,3,42.9,5,71.4
202223,Revised,Academic year,National,E92000001,England,Digital Business Services,Female,E,2,28.6,7,100
202223,Revised,Academic year,National,E92000001,England,Digital Business Services,Female,Unclassified,0,0,7,100
202223,Revised,Academic year,National,E92000001,England,Digital Business Services,Male,Number of students,35,z,z,z
202223,Revised,Academic year,National,E92000001,England,Digital Business Services,Male,A*,0,0,0,0
202223,Revised,Academic year,National,E92000001,England,Digital Business Services,Male,A,0,0,0,0
202223,Revised,Academic year,National,E92000001,England,Digital Business Services,Male,B,2,5.7,2,5.7
202223,Revised,Academic year,National,E92000001,England,Digital Business Services,Male,C,2,5.7,4,11.4
202223,Revised,Academic year,National,E92000001,England,Digital Business Services,Male,D,9,25.7,13,37.1
202223,Revised,Academic year,National,E92000001,England,Digital Business Services,Male,E,16,45.7,29,82.9
202223,Revised,Academic year,National,E92000001,England,Digital Business Services,Male,Unclassified,6,17.1,35,100
202223,Revised,Academic year,National,E92000001,England,"Digital Production, Design and Development",Female,Number of students,65,z,z,z
202223,Revised,Academic year,National,E92000001,England,"Digital Production, Design and Development",Female,A*,0,0,0,0
202223,Revised,Academic year,National,E92000001,England,"Digital Production, Design and Development",Female,A,3,4.6,3,4.6
202223,Revised,Academic year,National,E92000001,England,"Digital Production, Design and Development",Female,B,10,15.4,13,20
202223,Revised,Academic year,National,E92000001,England,"Digital Production, Design and Development",Female,C,27,41.5,40,61.5
202223,Revised,Academic year,National,E92000001,England,"Digital Production, Design and Development",Female,D,19,29.2,59,90.8
202223,Revised,Academic year,National,E92000001,England,"Digital Production, Design and Development",Female,E,5,7.7,64,98.5
202223,Revised,Academic year,National,E92000001,England,"Digital Production, Design and Development",Female,Unclassified,1,1.5,65,100
202223,Revised,Academic year,National,E92000001,England,"Digital Production, Design and Development",Male,Number of students,619,z,z,z
202223,Revised,Academic year,National,E92000001,England,"Digital Production, Design and Development",Male,A*,0,0,0,0
202223,Revised,Academic year,National,E92000001,England,"Digital Production, Design and Development",Male,A,8,1.3,8,1.3
202223,Revised,Academic year,National,E92000001,England,"Digital Production, Design and Development",Male,B,79,12.8,87,14.1
202223,Revised,Academic year,National,E92000001,England,"Digital Production, Design and Development",Male,C,216,34.9,303,48.9
202223,Revised,Academic year,National,E92000001,England,"Digital Production, Design and Development",Male,D,207,33.4,510,82.4
202223,Revised,Academic year,National,E92000001,England,"Digital Production, Design and Development",Male,E,100,16.2,610,98.5
202223,Revised,Academic year,National,E92000001,England,"Digital Production, Design and Development",Male,Unclassified,9,1.5,619,100
202223,Revised,Academic year,National,E92000001,England,Digital Support Services,Female,Number of students,8,z,z,z
202223,Revised,Academic year,National,E92000001,England,Digital Support Services,Female,A*,0,0,0,0
202223,Revised,Academic year,National,E92000001,England,Digital Support Services,Female,A,2,25,2,25
202223,Revised,Academic year,National,E92000001,England,Digital Support Services,Female,B,3,37.5,5,62.5
202223,Revised,Academic year,National,E92000001,England,Digital Support Services,Female,C,0,0,5,62.5
202223,Revised,Academic year,National,E92000001,England,Digital Support Services,Female,D,1,12.5,6,75
202223,Revised,Academic year,National,E92000001,England,Digital Support Services,Female,E,1,12.5,7,87.5
202223,Revised,Academic year,National,E92000001,England,Digital Support Services,Female,Unclassified,1,12.5,8,100
202223,Revised,Academic year,National,E92000001,England,Digital Support Services,Male,Number of students,183,z,z,z
202223,Revised,Academic year,National,E92000001,England,Digital Support Services,Male,A*,1,0.5,1,0.5
202223,Revised,Academic year,National,E92000001,England,Digital Support Services,Male,A,6,3.3,7,3.8
202223,Revised,Academic year,National,E92000001,England,Digital Support Services,Male,B,31,16.9,38,20.8
202223,Revised,Academic year,National,E92000001,England,Digital Support Services,Male,C,57,31.1,95,51.9
202223,Revised,Academic year,National,E92000001,England,Digital Support Services,Male,D,61,33.3,156,85.2
202223,Revised,Academic year,National,E92000001,England,Digital Support Services,Male,E,23,12.6,179,97.8
