time_period,data_version,time_identifier,geographic_level,country_code,country_name,tlevel_pathway,occupational_specialism,sex,grade,count,percent,cumulative_count,cumulative_percent
202223,Revised,Academic year,National,E92000001,England,Building Services Engineering,Plumbing and Heating Engineering,Male,Pass,24,41.4,57,98.3
202223,Revised,Academic year,National,E92000001,England,Building Services Engineering,Plumbing and Heating Engineering,Male,Unclassified,1,1.7,58,100
202223,Revised,Academic year,National,E92000001,England,"Design, Surveying and Planning",Civil Engineering,Female,Number of students,3,z,z,z
202223,Revised,Academic year,National,E92000001,England,"Design, Surveying and Planning",Civil Engineering,Female,Distinction,1,33.3,1,33.3
202223,Revised,Academic year,National,E92000001,England,"Design, Surveying and Planning",Civil Engineering,Female,Merit,2,66.7,3,100
202223,Revised,Academic year,National,E92000001,England,"Design, Surveying and Planning",Civil Engineering,Female,Pass,0,0,3,100
202223,Revised,Academic year,National,E92000001,England,"Design, Surveying and Planning",Civil Engineering,Female,Unclassified,0,0,3,100
202223,Revised,Academic year,National,E92000001,England,"Design, Surveying and Planning",Civil Engineering,Male,Number of students,42,z,z,z
202223,Revised,Academic year,National,E92000001,England,"Design, Surveying and Planning",Civil Engineering,Male,Distinction,19,45.2,19,45.2
202223,Revised,Academic year,National,E92000001,England,"Design, Surveying and Planning",Civil Engineering,Male,Merit,20,47.6,39,92.9
202223,Revised,Academic year,National,E92000001,England,"Design, Surveying and Planning",Civil Engineering,Male,Pass,3,7.1,42,100
202223,Revised,Academic year,National,E92000001,England,"Design, Surveying and Planning",Civil Engineering,Male,Unclassified,0,0,42,100
202223,Revised,Academic year,National,E92000001,England,"Design, Surveying and Planning",Surveying and Design for Construction and the Built Environment,Female,Number of students,64,z,z,z
202223,Revised,Academic year,National,E92000001,England,"Design, Surveying and Planning",Surveying and Design for Construction and the Built Environment,Female,Distinction,16,25,16,25
202223,Revised,Academic year,National,E92000001,England,"Design, Surveying and Planning",Surveying and Design for Construction and the Built Environment,Female,Merit,41,64.1,57,89.1
202223,Revised,Academic year,National,E92000001,England,"Design, Surveying and Planning",Surveying and Design for Construction and the Built Environment,Female,Pass,3,4.7,60,93.8
202223,Revised,Academic year,National,E92000001,England,"Design, Surveying and Planning",Surveying and Design for Construction and the Built Environment,Female,Unclassified,4,6.3,64,100
202223,Revised,Academic year,National,E92000001,England,"Design, Surveying and Planning",Surveying and Design for Construction and the Built Environment,Male,Number of students,330,z,z,z
202223,Revised,Academic year,National,E92000001,England,"Design, Surveying and Planning",Surveying and Design for Construction and the Built Environment,Male,Distinction,54,16.4,54,16.4
202223,Revised,Academic year,National,E92000001,England,"Design, Surveying and Planning",Surveying and Design for Construction and the Built Environment,Male,Merit,245,74.2,299,90.6
202223,Revised,Academic year,National,E92000001,England,"Design, Surveying and Planning",Surveying and Design for Construction and the Built Environment,Male,Pass,28,8.5,327,99.1
202223,Revised,Academic year,National,E92000001,England,"Design, Surveying and Planning",Surveying and Design for Construction and the Built Environment,Male,Unclassified,3,0.9,330,100
202223,Revised,Academic year,National,E92000001,England,Digital Business Services,Data Technician,Female,Number of students,7,z,z,z
202223,Revised,Academic year,National,E92000001,England,Digital Business Services,Data Technician,Female,Distinction,0,0,0,0
202223,Revised,Academic year,National,E92000001,England,Digital Business Services,Data Technician,Female,Merit,3,42.9,3,42.9
202223,Revised,Academic year,National,E92000001,England,Digital Business Services,Data Technician,Female,Pass,4,57.1,7,100
202223,Revised,Academic year,National,E92000001,England,Digital Business Services,Data Technician,Female,Unclassified,0,0,7,100
202223,Revised,Academic year,National,E92000001,England,Digital Business Services,Data Technician,Male,Number of students,35,z,z,z
202223,Revised,Academic year,National,E92000001,England,Digital Business Services,Data Technician,Male,Distinction,1,2.9,1,2.9
202223,Revised,Academic year,National,E92000001,England,Digital Business Services,Data Technician,Male,Merit,14,40,15,42.9
202223,Revised,Academic year,National,E92000001,England,Digital Business Services,Data Technician,Male,Pass,17,48.6,32,91.4
