time_period,data_version,time_identifier,geographic_level,country_code,country_name,tlevel_pathway,sex,status,count,percent,cumulative_count,cumulative_percent
202223,Revised,Academic year,National,E92000001,England,Education and Early Years,All,Number of students,1025,z,z,z
202223,Revised,Academic year,National,E92000001,England,Education and Early Years,All,Completed,1006,98.1,1006,98.1
202223,Revised,Academic year,National,E92000001,England,Education and Early Years,All,Completed with special consideration,13,1.3,1019,99.4
202223,Revised,Academic year,National,E92000001,England,Education and Early Years,All,Not completed,6,0.6,1025,100
202324,Provisional,Academic year,National,E92000001,England,Education and Early Years,All,Number of students,1533,z,z,z
202324,Provisional,Academic year,National,E92000001,England,Education and Early Years,All,Completed,1463,95.4,1463,95.4
202324,Provisional,Academic year,National,E92000001,England,Education and Early Years,All,Completed with special consideration,33,2.2,1496,97.6
202324,Provisional,Academic year,National,E92000001,England,Education and Early Years,All,Not completed,37,2.4,1533,100
202324,Provisional,Academic year,National,E92000001,England,"Engineering, Manufacturing, Processing and Control",Female,Number of students,19,z,z,z
202324,Provisional,Academic year,National,E92000001,England,"Engineering, Manufacturing, Processing and Control",Female,Completed,18,94.7,18,94.7
202324,Provisional,Academic year,National,E92000001,England,"Engineering, Manufacturing, Processing and Control",Female,Completed with special consideration,1,5.3,19,100
202324,Provisional,Academic year,National,E92000001,England,"Engineering, Manufacturing, Processing and Control",Female,Not completed,0,0,19,100
202324,Provisional,Academic year,National,E92000001,England,"Engineering, Manufacturing, Processing and Control",Male,Number of students,154,z,z,z
202324,Provisional,Academic year,National,E92000001,England,"Engineering, Manufacturing, Processing and Control",Male,Completed,148,96.1,148,96.1
202324,Provisional,Academic year,National,E92000001,England,"Engineering, Manufacturing, Processing and Control",Male,Completed with special consideration,1,0.6,149,96.8
202324,Provisional,Academic year,National,E92000001,England,"Engineering, Manufacturing, Processing and Control",Male,Not completed,5,3.2,154,100
202324,Provisional,Academic year,National,E92000001,England,"Engineering, Manufacturing, Processing and Control",All,Number of students,175,z,z,z
202324,Provisional,Academic year,National,E92000001,England,"Engineering, Manufacturing, Processing and Control",All,Completed,168,96,168,96
202324,Provisional,Academic year,National,E92000001,England,"Engineering, Manufacturing, Processing and Control",All,Completed with special consideration,2,1.1,170,97.1
202324,Provisional,Academic year,National,E92000001,England,"Engineering, Manufacturing, Processing and Control",All,Not completed,5,2.9,175,100
202324,Provisional,Academic year,National,E92000001,England,Finance,Female,Number of students,11,z,z,z
202324,Provisional,Academic year,National,E92000001,England,Finance,Female,Completed,10,90.9,10,90.9
202324,Provisional,Academic year,National,E92000001,England,Finance,Female,Completed with special consideration,0,0,10,90.9
202324,Provisional,Academic year,National,E92000001,England,Finance,Female,Not completed,1,9.1,11,100
202324,Provisional,Academic year,National,E92000001,England,Finance,Male,Number of students,24,z,z,z
202324,Provisional,Academic year,National,E92000001,England,Finance,Male,Completed,23,95.8,23,95.8
202324,Provisional,Academic year,National,E92000001,England,Finance,Male,Completed with special consideration,0,0,23,95.8
202324,Provisional,Academic year,National,E92000001,England,Finance,Male,Not completed,1,4.2,24,100
202324,Provisional,Academic year,National,E92000001,England,Finance,All,Number of students,37,z,z,z
202324,Provisional,Academic year,National,E92000001,England,Finance,All,Completed,35,94.6,35,94.6
202324,Provisional,Academic year,National,E92000001,England,Finance,All,Completed with special consideration,0,0,35,94.6
202324,Provisional,Academic year,National,E92000001,England,Finance,All,Not completed,2,5.4,37,100
202223,Revised,Academic year,National,E92000001,England,Health,Female,Number of students,661,z,z,z
202223,Revised,Academic year,National,E92000001,England,Health,Female,Completed,643,97.3,643,97.3
202223,Revised,Academic year,National,E92000001,England,Health,Female,Completed with special consideration,10,1.5,653,98.8
202223,Revised,Academic year,National,E92000001,England,Health,Female,Not completed,8,1.2,661,100
202324,Provisional,Academic year,National,E92000001,England,Health,Female,Number of students,953,z,z,z
202324,Provisional,Academic year,National,E92000001,England,Health,Female,Completed,898,94.2,898,94.2
202324,Provisional,Academic year,National,E92000001,England,Health,Female,Completed with special consideration,24,2.5,922,96.7
202324,Provisional,Academic year,National,E92000001,England,Health,Female,Not completed,31,3.3,953,100
202223,Revised,Academic year,National,E92000001,England,Health,Male,Number of students,62,z,z,z
202223,Revised,Academic year,National,E92000001,England,Health,Male,Completed,56,90.3,56,90.3
202223,Revised,Academic year,National,E92000001,England,Health,Male,Completed with special consideration,3,4.8,59,95.2
202223,Revised,Academic year,National,E92000001,England,Health,Male,Not completed,3,4.8,62,100
202324,Provisional,Academic year,National,E92000001,England,Health,Male,Number of students,81,z,z,z
202324,Provisional,Academic year,National,E92000001,England,Health,Male,Completed,77,95.1,77,95.1
202324,Provisional,Academic year,National,E92000001,England,Health,Male,Completed with special consideration,1,1.2,78,96.3
202324,Provisional,Academic year,National,E92000001,England,Health,Male,Not completed,3,3.7,81,100
202223,Revised,Academic year,National,E92000001,England,Health,All,Number of students,725,z,z,z
202223,Revised,Academic year,National,E92000001,England,Health,All,Completed,701,96.7,701,96.7
202223,Revised,Academic year,National,E92000001,England,Health,All,Completed with special consideration,13,1.8,714,98.5
202223,Revised,Academic year,National,E92000001,England,Health,All,Not completed,11,1.5,725,100
202324,Provisional,Academic year,National,E92000001,England,Health,All,Number of students,1044,z,z,z
202324,Provisional,Academic year,National,E92000001,England,Health,All,Completed,984,94.3,984,94.3
202324,Provisional,Academic year,National,E92000001,England,Health,All,Completed with special consideration,26,2.5,1010,96.7
202324,Provisional,Academic year,National,E92000001,England,Health,All,Not completed,34,3.3,1044,100
202223,Revised,Academic year,National,E92000001,England,Healthcare Science,Female,Number of students,24,z,z,z
202223,Revised,Academic year,National,E92000001,England,Healthcare Science,Female,Completed,22,91.7,22,91.7
202223,Revised,Academic year,National,E92000001,England,Healthcare Science,Female,Completed with special consideration,1,4.2,23,95.8
202223,Revised,Academic year,National,E92000001,England,Healthcare Science,Female,Not completed,1,4.2,24,100
202324,Provisional,Academic year,National,E92000001,England,Healthcare Science,Female,Number of students,51,z,z,z
202324,Provisional,Academic year,National,E92000001,England,Healthcare Science,Female,Completed,49,96.1,49,96.1
202324,Provisional,Academic year,National,E92000001,England,Healthcare Science,Female,Completed with special consideration,1,2,50,98
202324,Provisional,Academic year,National,E92000001,England,Healthcare Science,Female,Not completed,1,2,51,100
202223,Revised,Academic year,National,E92000001,England,Healthcare Science,Male,Number of students,8,z,z,z
202223,Revised,Academic year,National,E92000001,England,Healthcare Science,Male,Completed,8,100,8,100
202223,Revised,Academic year,National,E92000001,England,Healthcare Science,Male,Completed with special consideration,0,0,8,100
202223,Revised,Academic year,National,E92000001,England,Healthcare Science,Male,Not completed,0,0,8,100
202324,Provisional,Academic year,National,E92000001,England,Healthcare Science,Male,Number of students,14,z,z,z
202324,Provisional,Academic year,National,E92000001,England,Healthcare Science,Male,Completed,14,100,14,100
202324,Provisional,Academic year,National,E92000001,England,Healthcare Science,Male,Completed with special consideration,0,0,14,100
202324,Provisional,Academic year,National,E92000001,England,Healthcare Science,Male,Not completed,0,0,14,100
202223,Revised,Academic year,National,E92000001,England,Healthcare Science,All,Number of students,32,z,z,z
202223,Revised,Academic year,National,E92000001,England,Healthcare Science,All,Completed,30,93.8,30,93.8
202223,Revised,Academic year,National,E92000001,England,Healthcare Science,All,Completed with special consideration,1,3.1,31,96.9
202223,Revised,Academic year,National,E92000001,England,Healthcare Science,All,Not completed,1,3.1,32,100
202324,Provisional,Academic year,National,E92000001,England,Healthcare Science,All,Number of students,65,z,z,z
202324,Provisional,Academic year,National,E92000001,England,Healthcare Science,All,Completed,63,96.9,63,96.9
202324,Provisional,Academic year,National,E92000001,England,Healthcare Science,All,Completed with special consideration,1,1.5,64,98.5
202324,Provisional,Academic year,National,E92000001,England,Healthcare Science,All,Not completed,1,1.5,65,100
202324,Provisional,Academic year,National,E92000001,England,"Maintenance, Installation and Repair for Engineering and Manufacturing",Female,Number of students,29,z,z,z
202324,Provisional,Academic year,National,E92000001,England,"Maintenance, Installation and Repair for Engineering and Manufacturing",Female,Completed,26,89.7,26,89.7
