time_period,data_version,time_identifier,geographic_level,country_code,country_name,tlevel_pathway,sex,grade,count,percent,cumulative_count,cumulative_percent
202324,Provisional,Academic year,National,E92000001,England,Design and Development for Engineering and Manufacturing,Male,Pass,166,32.3,365,71
202324,Provisional,Academic year,National,E92000001,England,Design and Development for Engineering and Manufacturing,Male,Unclassified,149,29,514,100
202324,Provisional,Academic year,National,E92000001,England,"Design, Surveying and Planning",Female,Number of students,107,z,z,z
202324,Provisional,Academic year,National,E92000001,England,"Design, Surveying and Planning",Female,Distinction,13,12.1,13,12.1
202324,Provisional,Academic year,National,E92000001,England,"Design, Surveying and Planning",Female,Merit,78,72.9,91,85
202324,Provisional,Academic year,National,E92000001,England,"Design, Surveying and Planning",Female,Pass,16,15,107,100
202324,Provisional,Academic year,National,E92000001,England,"Design, Surveying and Planning",Female,Unclassified,0,0,107,100
202324,Provisional,Academic year,National,E92000001,England,"Design, Surveying and Planning",Male,Number of students,572,z,z,z
202324,Provisional,Academic year,National,E92000001,England,"Design, Surveying and Planning",Male,Distinction,85,14.9,85,14.9
202324,Provisional,Academic year,National,E92000001,England,"Design, Surveying and Planning",Male,Merit,369,64.5,454,79.4
202324,Provisional,Academic year,National,E92000001,England,"Design, Surveying and Planning",Male,Pass,110,19.2,564,98.6
202324,Provisional,Academic year,National,E92000001,England,"Design, Surveying and Planning",Male,Unclassified,8,1.4,572,100
202324,Provisional,Academic year,National,E92000001,England,Digital Business Services,Female,Number of students,8,z,z,z
202324,Provisional,Academic year,National,E92000001,England,Digital Business Services,Female,Distinction,6,75,6,75
202324,Provisional,Academic year,National,E92000001,England,Digital Business Services,Female,Merit,2,25,8,100
202324,Provisional,Academic year,National,E92000001,England,Digital Business Services,Female,Pass,0,0,8,100
202324,Provisional,Academic year,National,E92000001,England,Digital Business Services,Female,Unclassified,0,0,8,100
202324,Provisional,Academic year,National,E92000001,England,Digital Business Services,Male,Number of students,27,z,z,z
202324,Provisional,Academic year,National,E92000001,England,Digital Business Services,Male,Distinction,10,37,10,37
202324,Provisional,Academic year,National,E92000001,England,Digital Business Services,Male,Merit,16,59.3,26,96.3
202324,Provisional,Academic year,National,E92000001,England,Digital Business Services,Male,Pass,1,3.7,27,100
202324,Provisional,Academic year,National,E92000001,England,Digital Business Services,Male,Unclassified,0,0,27,100
202324,Provisional,Academic year,National,E92000001,England,"Digital Production, Design and Development",Female,Number of students,96,z,z,z
202324,Provisional,Academic year,National,E92000001,England,"Digital Production, Design and Development",Female,Distinction,24,25,24,25
202324,Provisional,Academic year,National,E92000001,England,"Digital Production, Design and Development",Female,Merit,41,42.7,65,67.7
202324,Provisional,Academic year,National,E92000001,England,"Digital Production, Design and Development",Female,Pass,23,24,88,91.7
202324,Provisional,Academic year,National,E92000001,England,"Digital Production, Design and Development",Female,Unclassified,8,8.3,96,100
202324,Provisional,Academic year,National,E92000001,England,"Digital Production, Design and Development",Male,Number of students,930,z,z,z
202324,Provisional,Academic year,National,E92000001,England,"Digital Production, Design and Development",Male,Distinction,113,12.2,113,12.2
202324,Provisional,Academic year,National,E92000001,England,"Digital Production, Design and Development",Male,Merit,333,35.8,446,48
