time_period,data_version,time_identifier,geographic_level,country_code,country_name,tlevel_pathway,sex,grade,count,percent,cumulative_count,cumulative_percent
202324,Provisional,Academic year,National,E92000001,England,Design and Development for Engineering and Manufacturing,All,Pass,186,33.5,388,69.9
202324,Provisional,Academic year,National,E92000001,England,Design and Development for Engineering and Manufacturing,All,Partial achievement,165,29.7,553,99.6
202324,Provisional,Academic year,National,E92000001,England,Design and Development for Engineering and Manufacturing,All,Unclassified,2,0.4,555,100
202122,Final,Academic year,National,E92000001,England,"Design, Surveying and Planning",Female,Number of students,20,z,z,z
202122,Final,Academic year,National,E92000001,England,"Design, Surveying and Planning",Female,Distinction*,2,10,2,10
202122,Final,Academic year,National,E92000001,England,"Design, Surveying and Planning",Female,Distinction,13,65,15,75
202122,Final,Academic year,National,E92000001,England,"Design, Surveying and Planning",Female,Merit,4,20,19,95
202122,Final,Academic year,National,E92000001,England,"Design, Surveying and Planning",Female,Pass,1,5,20,100
202122,Final,Academic year,National,E92000001,England,"Design, Surveying and Planning",Female,Partial achievement,0,0,20,100
202122,Final,Academic year,National,E92000001,England,"Design, Surveying and Planning",Female,Unclassified,0,0,20,100
202223,Revised,Academic year,National,E92000001,England,"Design, Surveying and Planning",Female,Number of students,67,z,z,z
202223,Revised,Academic year,National,E92000001,England,"Design, Surveying and Planning",Female,Distinction*,0,0,0,0
202223,Revised,Academic year,National,E92000001,England,"Design, Surveying and Planning",Female,Distinction,17,25.4,17,25.4
202223,Revised,Academic year,National,E92000001,England,"Design, Surveying and Planning",Female,Merit,39,58.2,56,83.6
202223,Revised,Academic year,National,E92000001,England,"Design, Surveying and Planning",Female,Pass,7,10.4,63,94
202223,Revised,Academic year,National,E92000001,England,"Design, Surveying and Planning",Female,Partial achievement,3,4.5,66,98.5
202223,Revised,Academic year,National,E92000001,England,"Design, Surveying and Planning",Female,Unclassified,1,1.5,67,100
202324,Provisional,Academic year,National,E92000001,England,"Design, Surveying and Planning",Female,Number of students,107,z,z,z
202324,Provisional,Academic year,National,E92000001,England,"Design, Surveying and Planning",Female,Distinction*,0,0,0,0
202324,Provisional,Academic year,National,E92000001,England,"Design, Surveying and Planning",Female,Distinction,17,15.9,17,15.9
202324,Provisional,Academic year,National,E92000001,England,"Design, Surveying and Planning",Female,Merit,67,62.6,84,78.5
202324,Provisional,Academic year,National,E92000001,England,"Design, Surveying and Planning",Female,Pass,14,13.1,98,91.6
202324,Provisional,Academic year,National,E92000001,England,"Design, Surveying and Planning",Female,Partial achievement,9,8.4,107,100
